period,date,deepen_usd_total,recover_usd_total,deepen_usd_inpos,deepen_usd_flat,min_dd_pct,min_dd_usd,bars,inpos_frac,ema_sep_ok_frac,nochop_ok_frac,corr_ok_frac,fomc_allow_frac,deepen_usd_ema_sep_bad,deepen_usd_nochop_bad,deepen_usd_corr_bad,deepen_usd_fomc_blocked
2023-2025,2025-07-06,0.0,0.0,0.0,0.0,-0.020201804615869512,-64.36400000000049,23,0.0,0.4782608695652174,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-07,16.480000000001382,4.920000000000073,16.480000000001382,0.0,-0.023830119533517213,-75.9240000000018,276,0.06159420289855073,0.06521739130434782,0.1956521739130435,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-08,13.034999999999854,10.912000000000262,13.034999999999854,0.0,-0.02640697640842049,-84.13400000000092,276,0.04710144927536232,0.5,0.2717391304347826,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-09,0.0,0.0,0.0,0.0,-0.024496461451351426,-78.04700000000139,276,0.0,0.0,0.2608695652173913,0.9891304347826086,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-10,88.3169999999991,75.20049999999901,88.3169999999991,0.0,-0.030656593175503954,-97.67350000000079,276,0.3695652173913043,0.9239130434782609,0.6847826086956522,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-11,107.72949999999946,137.29799999999886,107.72949999999946,0.0,-0.028682362999725597,-91.38350000000173,253,0.8142292490118577,1.0,0.9407114624505929,0.9960474308300395,1.0,0.0,0.0,1.8885000000000218,0.0
2023-2025,2025-07-13,9.989000000000033,23.024000000000342,9.989000000000033,0.0,-0.01754569605267009,-55.90150000000176,23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-14,49.263999999999214,19.400499999999738,49.20699999999897,0.057000000000243745,-0.024614632780632917,-78.42350000000124,276,0.15942028985507245,1.0,0.31521739130434784,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-15,0.0,0.0,0.0,0.0,-0.024614632780632917,-78.42350000000124,276,0.0,0.7391304347826086,0.358695652173913,0.7898550724637681,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-16,20.548999999999978,4.2390000000004875,20.548999999999978,0.0,-0.03003513439203176,-95.69350000000168,276,0.06521739130434782,0.22826086956521738,0.5434782608695652,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-17,0.0,0.0,0.0,0.0,-0.029733821042469022,-94.73350000000073,276,0.0,0.2608695652173913,0.14130434782608695,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-18,56.473000000002685,60.68300000000181,55.26300000000174,1.2100000000009459,-0.030047689114929832,-95.73350000000073,253,0.2450592885375494,0.6205533596837944,0.6877470355731226,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-20,0.0,0.0,0.0,0.0,-0.028412436457409207,-90.5235000000016,23,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-21,127.38000000000102,154.84699999999884,127.38000000000102,0.0,-0.03272498377302102,-104.26350000000139,276,0.6014492753623188,1.0,0.717391304347826,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-22,61.3575000000028,56.24300000000267,58.24750000000222,3.110000000000582,-0.023053452988213485,-73.44950000000381,276,0.37318840579710144,1.0,0.532608695652174,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-23,0.0,0.0,0.0,0.0,-0.021396700367729005,-68.17100000000391,276,0.0,1.0,0.20652173913043478,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-24,0.0,0.0,0.0,0.0,-0.021396700367729005,-68.17100000000391,276,0.0,0.07608695652173914,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-25,0.0,0.0,0.0,0.0,-0.021396700367729005,-68.17100000000391,253,0.0,0.0,0.1067193675889328,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-27,0.0,0.0,0.0,0.0,-0.021396700367729005,-68.17100000000391,23,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-28,0.0,0.0,0.0,0.0,-0.021396700367729005,-68.17100000000391,276,0.0,0.0,0.22826086956521738,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-29,0.0,0.0,0.0,0.0,-0.021396700367729005,-68.17100000000391,276,0.0,0.0,0.5978260869565217,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-30,0.0,0.0,0.0,0.0,-0.021396700367729005,-68.17100000000391,276,0.0,0.0,0.4782608695652174,1.0,0.8876811594202898,0.0,0.0,0.0,0.0
2023-2025,2025-07-31,0.0,0.0,0.0,0.0,-0.021396700367729005,-68.17100000000391,276,0.0,0.0,0.4891304347826087,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-01,88.93899999999849,125.56899999999769,88.93899999999849,0.0,-0.02362610528641862,-75.27400000000489,253,0.33201581027667987,0.3359683794466403,0.4782608695652174,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-03,26.729999999998654,23.149999999998727,26.729999999998654,0.0,-0.014243646996346837,-45.38100000000486,23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-04,202.22999999999047,209.93099999998958,196.1859999999897,6.0440000000007785,-0.024692315128568065,-78.67100000000482,276,0.6956521739130435,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-05,51.68700000000172,48.37600000000111,51.68700000000172,0.0,-0.01179202348235564,-37.570000000006075,276,0.22826086956521738,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-06,33.068999999998596,18.4429999999993,33.068999999998596,0.0,-0.014581369042314662,-46.45700000000488,276,0.10869565217391304,1.0,0.20652173913043478,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-07,195.97999999999593,210.01399999999558,195.97999999999593,0.0,-0.01787918087966145,-56.96400000000722,275,0.45454545454545453,1.0,0.5527272727272727,1.0,1.0,0.0,1.133999999999105,0.0,0.0
2023-2025,2025-08-08,76.3060000000014,50.211999999999534,74.73000000000138,1.5760000000000218,-0.023011237732468492,-73.31500000000688,253,0.15810276679841898,1.0,0.4426877470355731,0.9723320158102767,1.0,0.0,10.076000000000022,0.0,0.0
2023-2025,2025-08-10,21.095000000000255,14.31500000000051,21.095000000000255,0.0,-0.021757334782987803,-69.3200000000079,23,0.43478260869565216,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-11,0.0,0.0,0.0,0.0,-0.020149388647770716,-64.19700000000739,276,0.0,0.2717391304347826,0.010869565217391304,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-12,0.0,0.0,0.0,0.0,-0.020149388647770716,-64.19700000000739,276,0.0,0.0,0.08695652173913043,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-13,0.0,0.0,0.0,0.0,-0.020149388647770716,-64.19700000000739,276,0.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-14,0.0,0.0,0.0,0.0,-0.020149388647770716,-64.19700000000739,276,0.0,0.32608695652173914,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-15,0.0,0.0,0.0,0.0,-0.020149388647770716,-64.19700000000739,253,0.0,0.0,0.2727272727272727,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-17,0.0,0.0,0.0,0.0,-0.020149388647770716,-64.19700000000739,23,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-18,0.0,0.0,0.0,0.0,-0.020149388647770716,-64.19700000000739,276,0.0,0.0,0.32608695652173914,0.9963768115942029,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-19,0.0,0.0,0.0,0.0,-0.020149388647770716,-64.19700000000739,276,0.0,0.0,0.2826086956521739,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-20,41.703999999997905,50.35399999999754,41.703999999997905,0.0,-0.020312600045450213,-64.71700000000692,276,0.3007246376811594,0.30434782608695654,0.6086956521739131,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-21,12.421000000000276,3.0940000000009604,10.253999999999905,2.167000000000371,-0.020361877332826683,-64.87400000000707,276,0.036231884057971016,1.0,0.2391304347826087,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-22,25.64600000000246,23.26600000000235,25.64600000000246,0.0,-0.02219486687599803,-70.71400000000722,253,0.16205533596837945,0.4426877470355731,0.19367588932806323,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-24,0.0,0.0,0.0,0.0,-0.02110888334528349,-67.25400000000718,23,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-25,32.4980000000005,20.368000000000393,32.07800000000043,0.42000000000007276,-0.024975737998000902,-79.57400000000689,276,0.2028985507246377,1.0,0.4782608695652174,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-26,133.6669999999931,141.14699999999357,129.4269999999933,4.239999999999782,-0.03492535589500945,-111.27400000000671,276,0.5398550724637681,1.0,0.6630434782608695,0.9202898550724637,1.0,0.0,0.0,11.567000000000007,0.0
2023-2025,2025-08-27,63.60899999999674,56.388999999997395,63.60899999999674,0.0,-0.027298361734210963,-86.97400000000653,276,0.3188405797101449,1.0,0.5,0.9347826086956522,1.0,0.0,0.0,5.529999999999745,0.0
2023-2025,2025-08-28,136.42099999999573,141.3439999999964,132.9639999999954,3.4570000000003347,-0.03516389563007882,-112.0340000000042,276,0.5398550724637681,1.0,0.7282608695652174,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-29,53.85599999999795,51.315999999997985,53.85599999999795,0.0,-0.028197279893738436,-89.8380000000052,253,0.18972332015810275,1.0,0.34782608695652173,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-08-31,22.707000000001244,24.347000000000662,22.707000000001244,0.0,-0.026682238707970152,-85.01100000000588,23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-01,153.8700000000017,146.7970000000023,151.99700000000212,1.8729999999995925,-0.030332524390689453,-96.64100000000508,246,0.4024390243902439,1.0,0.6463414634146342,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-02,184.44700000000284,206.7370000000028,184.44700000000284,0.0,-0.026592158571173807,-84.72400000000562,276,0.5398550724637681,1.0,0.6847826086956522,1.0,1.0,0.0,0.0,0.0,0.0
