period,peak_ts,trough_ts,recovery_ts,peak_equity,trough_equity,max_dd_pct,max_dd_usd,to_trough_bars,to_recovery_bars
2021-2022,2022-02-17 13:35:00+00:00,2022-02-17 13:40:00+00:00,2022-02-17 13:45:00+00:00,1174.3209999999985,1173.6139999999982,-0.0006020500357231118,-0.7070000000003347,1.0,2.0
2021-2022,2022-02-17 08:55:00+00:00,2022-02-17 09:00:00+00:00,2022-02-17 09:05:00+00:00,1157.7479999999982,1157.0709999999985,-0.0005847559227047938,-0.6769999999996799,1.0,2.0
2021-2022,2021-04-15 14:20:00+00:00,2021-04-15 14:25:00+00:00,2021-04-15 14:30:00+00:00,1056.7239999999974,1056.1239999999975,-0.0005677925361777802,-0.599999999999909,1.0,2.0
2021-2022,2022-02-24 09:40:00+00:00,2022-02-24 09:45:00+00:00,2022-02-24 09:50:00+00:00,1249.7729999999983,1249.1329999999984,-0.0005120929960880094,-0.6399999999998727,1.0,2.0
2021-2022,2022-02-24 10:05:00+00:00,2022-02-24 10:10:00+00:00,2022-02-24 10:15:00+00:00,1265.2899999999986,1264.6629999999982,-0.0004955385721853167,-0.6270000000004075,1.0,2.0
2021-2022,2021-03-11 02:10:00+00:00,2021-03-11 02:15:00+00:00,2021-03-11 02:25:00+00:00,1023.5949999999993,1023.1769999999992,-0.000408364636404146,-0.41800000000012005,1.0,3.0
2021-2022,2022-02-15 03:05:00+00:00,2022-02-15 03:10:00+00:00,2022-02-15 03:15:00+00:00,1149.7189999999982,1149.2689999999984,-0.00039139998556148026,-0.4499999999998181,1.0,2.0
2021-2022,2022-02-17 08:45:00+00:00,2022-02-17 08:50:00+00:00,2022-02-17 08:55:00+00:00,1157.300999999998,1156.8869999999984,-0.0003577288881628782,-0.4139999999997599,1.0,2.0
2021-2022,2022-02-15 02:40:00+00:00,2022-02-15 02:45:00+00:00,2022-02-15 02:50:00+00:00,1148.9389999999985,1148.5419999999986,-0.00034553618599419966,-0.3969999999999345,1.0,2.0
2021-2022,2022-02-15 02:50:00+00:00,2022-02-15 03:00:00+00:00,2022-02-15 03:05:00+00:00,1149.0289999999982,1148.804999999998,-0.00019494721195045805,-0.22400000000016007,2.0,3.0
2021-2022,2022-02-17 09:10:00+00:00,2022-02-17 09:15:00+00:00,2022-02-17 09:20:00+00:00,1161.170999999998,1160.9809999999984,-0.00016362792387991654,-0.18999999999959982,1.0,2.0
2021-2022,2021-04-15 15:30:00+00:00,2021-04-15 15:35:00+00:00,2021-04-15 15:40:00+00:00,1063.3359999999975,1063.3139999999976,-2.068960328616143e-05,-0.021999999999934516,1.0,2.0
2021-2022,2022-02-24 03:25:00+00:00,2022-02-24 03:30:00+00:00,2022-02-24 03:35:00+00:00,1209.362999999998,1209.3529999999982,-8.268815897105597e-06,-0.009999999999763531,1.0,2.0
2023-2025,2023-12-03 23:35:00+00:00,2024-02-16 13:40:00+00:00,2024-04-05 14:45:00+00:00,1560.1499999999958,1295.1649999999952,-0.16984584815562687,-264.9850000000006,21481.0,35606.0
2023-2025,2024-04-12 15:05:00+00:00,2024-05-09 13:20:00+00:00,2024-05-20 05:35:00+00:00,1661.5014999999942,1384.5644999999934,-0.1666787541269158,-276.9370000000008,7755.0,10830.0
2023-2025,2023-05-03 22:05:00+00:00,2023-07-17 13:10:00+00:00,2023-10-13 17:55:00+00:00,1268.7404999999987,1057.6484999999993,-0.16637917682930403,-211.09199999999942,21493.0,46894.0
2023-2025,2024-07-17 02:10:00+00:00,2024-09-10 14:30:00+00:00,2024-10-30 01:55:00+00:00,1748.5249999999967,1523.5039999999951,-0.12869189745642873,-225.02100000000155,15988.0,30237.0
2023-2025,2023-01-09 07:20:00+00:00,2023-02-28 21:00:00+00:00,2023-03-12 22:05:00+00:00,1060.7819999999992,962.5860000000002,-0.09256944405165157,-98.195999999999,14564.0,18033.0
2023-2025,2024-05-20 05:50:00+00:00,2024-07-03 02:35:00+00:00,2024-07-11 15:20:00+00:00,1679.9994999999938,1543.155999999997,-0.08145448852811998,-136.84349999999677,12633.0,15090.0
2023-2025,2025-02-05 10:35:00+00:00,2025-03-13 13:00:00+00:00,2025-03-18 12:05:00+00:00,2131.7334999999985,1989.3660000000054,-0.06678484904421356,-142.36749999999302,10397.0,11826.0
2023-2025,2023-03-20 07:45:00+00:00,2023-03-23 15:05:00+00:00,2023-04-13 08:35:00+00:00,1219.6770000000013,1138.6475000000007,-0.0664352119454581,-81.02950000000055,952.0,6922.0
2023-2025,2023-04-13 14:00:00+00:00,2023-05-02 14:55:00+00:00,2023-05-03 22:05:00+00:00,1255.9424999999994,1177.6824999999988,-0.06231176984615194,-78.26000000000067,5483.0,5857.0
2023-2025,2025-05-06 20:55:00+00:00,2025-05-20 13:20:00+00:00,2025-05-23 11:50:00+00:00,3056.1800000000026,2867.9400000000046,-0.061593230765202955,-188.23999999999796,3941.0,4787.0
2023-2025,2023-03-15 17:05:00+00:00,2023-03-16 15:25:00+00:00,2023-03-17 14:35:00+00:00,1121.1270000000015,1053.2510000000013,-0.06054265038661999,-67.8760000000002,268.0,546.0
2023-2025,2024-11-22 11:05:00+00:00,2024-12-09 08:35:00+00:00,2025-01-02 15:40:00+00:00,1883.6184999999966,1777.5684999999955,-0.05630120961330609,-106.05000000000109,4866.0,11863.0
2023-2025,2025-10-14 05:30:00+00:00,2025-10-14 22:05:00+00:00,2025-10-16 13:25:00+00:00,3815.2764999999977,3634.5779999999972,-0.04736183602944655,-180.69850000000042,199.0,671.0
