config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,trades,pre_h,post_h,mode,time_filter_mode,n_events
fb83d007f104,38,2023-2025,3368.9404999999915,-0.19790439751330346,2.578342947353275,736,2.0,2.0,force-flat,force_flat,21
fb83d007f104,38,2026,1343.0960000000005,-0.13069698316996314,8.011634399636625,42,2.0,2.0,force-flat,force_flat,1
5f5eca781008,39,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,2.0,3.0,no-entry,block_entry_hold_segment,16
5f5eca781008,39,2023-2025,3295.46949999999,-0.19351296478144409,2.4955572669653043,730,2.0,3.0,no-entry,block_entry_hold_segment,21
5f5eca781008,39,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,2.0,3.0,no-entry,block_entry_hold_segment,1
2a95ee639378,40,2021-2022,144.07650000000058,-0.156104172098263,0.4637458164253186,414,2.0,3.0,force-flat,force_flat,16
2a95ee639378,40,2023-2025,3365.3874999999907,-0.19790439751330346,2.5742086101443955,736,2.0,3.0,force-flat,force_flat,21
2a95ee639378,40,2026,1222.6490000000022,-0.13839292261752778,7.4326309447170855,42,2.0,3.0,force-flat,force_flat,1
da2b20f3098e,41,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,3.0,0.5,no-entry,block_entry_hold_segment,16
da2b20f3098e,41,2023-2025,3356.1594999999897,-0.18861054546685085,2.5489189111490105,732,3.0,0.5,no-entry,block_entry_hold_segment,21
da2b20f3098e,41,2026,1070.2430000000031,-0.11751861848101275,7.749641490721257,40,3.0,0.5,no-entry,block_entry_hold_segment,1
4363bd6d402f,42,2021-2022,145.6595000000002,-0.15492667019495754,0.4675399479598456,414,3.0,0.5,force-flat,force_flat,16
4363bd6d402f,42,2023-2025,3395.2284999999856,-0.1708172622922569,2.6029709982236904,736,3.0,0.5,force-flat,force_flat,21
4363bd6d402f,42,2026,1488.0000000000027,-0.12250151783778473,8.679749225197325,41,3.0,0.5,force-flat,force_flat,1
220ebc365d93,43,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,3.0,1.0,no-entry,block_entry_hold_segment,16
220ebc365d93,43,2023-2025,3305.7024999999903,-0.18934277473442096,2.508307111923963,730,3.0,1.0,no-entry,block_entry_hold_segment,21
220ebc365d93,43,2026,1070.2430000000031,-0.11751861848101275,7.749641490721257,40,3.0,1.0,no-entry,block_entry_hold_segment,1
e17033de9a37,44,2021-2022,143.3965000000003,-0.1566099846656971,0.4620802188724071,414,3.0,1.0,force-flat,force_flat,16
e17033de9a37,44,2023-2025,3377.1684999999916,-0.1733400859971601,2.5784052023128265,735,3.0,1.0,force-flat,force_flat,21
e17033de9a37,44,2026,1425.6630000000032,-0.1258977031962406,8.38316023179802,41,3.0,1.0,force-flat,force_flat,1
