iter,score,final_equity,cagr,vol,sharpe,max_drawdown,fast,slow,ema_fast,ema_slow,atr_n,sep_k,nochop_ema,nochop_lookback,nochop_min,htf_slope_on,htf_slope_ema,htf_slope_window,htf_slope_atr_mult,base_slope_on,base_slope_ema,base_slope_window
753,2.1589378002542188,1.9006127009499925,0.26071843560055763,0.10153613560321896,2.3325264263716528,-0.08679431305871699,30,150,80,150,10,0.25,20,30,15,True,50,8,0.02,False,200,30
614,2.158724286536383,1.991260236468211,0.2820890343971818,0.10980161425532294,2.3179818858375913,-0.07962879965060421,20,200,20,120,20,0.33,20,20,11,True,100,8,0.02,True,100,30
435,2.1586124238742963,1.8710990645494618,0.2536201538346998,0.1004468195773766,2.3005193785026017,-0.0709534773141528,25,75,50,150,20,0.33,30,30,11,False,200,6,0.01,False,100,10
126,2.1575637260813645,1.9485966721101964,0.27211010969050586,0.10603105554935618,2.3228808232572913,-0.0826585485879634,25,200,20,150,20,0.27,30,25,11,True,200,3,0.02,True,100,20
540,2.1555616255886303,1.8887127192490853,0.257864924941579,0.10168734728063111,2.306925320628103,-0.07568184751973628,20,100,50,250,14,0.33,20,20,10,False,30,6,0.04,True,200,20
379,2.1548983098812866,1.7368671909322158,0.22039949351593524,0.08589853070017034,2.3616998743857818,-0.10340078225224758,30,125,80,120,10,0.35,20,20,15,True,50,6,0.015,True,100,10
415,2.1519676931470992,1.7730607193321932,0.2295140262359059,0.09084871851626428,2.3197331893766293,-0.08388274811476504,20,125,80,120,14,0.27,30,20,15,True,30,8,0.03,True,100,20
686,2.15182156809825,1.910324383871079,0.26303875964623047,0.10286076000143089,2.3216811355734897,-0.08492978373761972,20,125,50,120,10,0.35,20,25,13,True,30,6,,False,50,10
815,2.1516711598576634,1.8478482387046107,0.2479775664913615,0.09695567522450828,2.33326635387355,-0.09079759700794321,10,150,20,250,14,0.4,15,20,11,True,200,3,0.03,False,50,20
137,2.151338019667169,1.7907255957073338,0.23391937608633095,0.09273710728022813,2.3129364651203197,-0.08079922272657525,25,75,80,250,20,0.25,30,15,10,True,100,8,0.015,True,50,30
827,2.1513084640570055,1.909687616622589,0.26288685394002975,0.10326730253035418,2.3117821168375303,-0.08023682639026253,10,100,50,150,10,0.33,30,30,11,False,200,8,0.01,True,100,10
11,2.1510858051592545,1.8394519743467546,0.24592878361033166,0.09740362209378836,2.306119891133256,-0.07751704298700068,10,50,50,150,20,0.2,15,30,11,True,50,6,,True,200,30
618,2.1499085795663397,1.8754177911614165,0.2546632932090831,0.10058384710391537,2.305785816990444,-0.07793861871205199,10,200,50,120,10,0.25,15,25,13,True,30,3,0.015,True,200,20
858,2.149425986555989,1.8509897618878812,0.24874260352007926,0.09903612359210608,2.292499718908502,-0.07153686617625643,20,200,80,150,20,0.3,30,25,14,True,100,8,0.03,True,100,20
645,2.1492642856170727,1.6844584744538666,0.2069837561817296,0.08477737086544643,2.261420417899139,-0.05607806614103328,20,50,80,150,20,0.3,15,20,12,True,100,10,0.03,False,100,30
314,2.1487636018407184,2.0370498813386777,0.29264823659146466,0.1115257421915918,2.3574036814318604,-0.10432003979557114,20,125,30,150,14,0.25,30,30,12,False,100,4,0.015,False,200,30
893,2.1485549481303363,2.150301535150326,0.31812853789000206,0.11945361435580261,2.3720224074400744,-0.11173372965486905,15,200,20,150,14,0.35,30,30,11,False,30,6,0.015,False,100,30
450,2.1485368670908294,1.8164618511374513,0.240288163029041,0.09571179644711647,2.297765242839656,-0.07461418787441343,20,75,50,150,10,0.3,15,20,11,True,200,3,0.01,True,100,10
