config_id,mean_sharpe,min_sharpe,worst_max_drawdown,sum_pnl_usd,sharpe_2021_2022,sharpe_2023_2025,sharpe_2026,maxdd_2026,trades_total,ema_fast,ema_slow,atr_n,sep_k
e5da30c2a378,3.456018539172136,0.23888488318309878,-0.21536471248772293,4538.969,0.23888488318309878,2.5088849512172136,7.620285783116095,-0.21536471248772293,1239,30,300,10,0.05
6650736e4282,3.4974241611034618,0.23935474089070083,-0.21536471248772293,4613.814000000002,0.23935474089070083,2.5258229857618346,7.727094756657849,-0.21536471248772293,1237,30,300,10,0.1
af93ec82bb60,3.504891730848758,0.24201379768292203,-0.21536471248772293,4681.717500000002,0.24201379768292203,2.5896629020869413,7.682998492776411,-0.21536471248772293,1231,30,300,10,0.15
d2b10b7d1164,3.485591920860721,0.2449335413597889,-0.21536471248772293,4684.061000000002,0.2449335413597889,2.581393896173889,7.6304483250484845,-0.21536471248772293,1230,30,300,10,0.2
5f51870e81e9,3.4689648411084604,0.3016538086888403,-0.21536471248772293,4617.969000000005,0.3016538086888403,2.5646399555879427,7.540600759048597,-0.21536471248772293,1226,30,300,10,0.25
9249d3e9c037,3.4622279191039254,0.24684676546321282,-0.21536471248772293,4550.571999999998,0.24684676546321282,2.5195512087324676,7.620285783116095,-0.21536471248772293,1239,30,300,14,0.05
425a0932b463,3.494838420609001,0.24621174508984228,-0.21536471248772293,4587.215500000002,0.24621174508984228,2.511208760079312,7.727094756657849,-0.21536471248772293,1238,30,300,14,0.1
ba7a9a87832a,3.507328740153042,0.24455709038046902,-0.21536471248772293,4702.240500000007,0.24455709038046902,2.594430637302247,7.682998492776411,-0.21536471248772293,1230,30,300,14,0.15
821bdca5b42d,3.491875373434617,0.25734644766925585,-0.21536471248772293,4696.283500000005,0.25734644766925585,2.59148524284087,7.626794429793725,-0.21536471248772293,1228,30,300,14,0.2
8b6e61cf7501,3.4376653290541825,0.25285703377900537,-0.21536471248772293,4638.1945000000005,0.25285703377900537,2.582855346655103,7.477283606728439,-0.21536471248772293,1224,30,300,14,0.25
411251c6d47a,3.4595787746447484,0.23630150937498492,-0.21536471248772293,4550.885999999999,0.23630150937498492,2.5221490314431656,7.620285783116095,-0.21536471248772293,1238,30,300,20,0.05
585bcaa3e41f,3.490777213852629,0.2426614442154057,-0.21536471248772293,4607.471500000003,0.2426614442154057,2.546671704566069,7.682998492776411,-0.21536471248772293,1236,30,300,20,0.1
