variant,period,peak_ts,trough_ts,recover_ts,depth,duration_bars,time_to_trough_bars
baseline_no_shock,2023-2025,2023-11-21 04:05:00+00:00,2023-11-24 08:15:00+00:00,2023-11-27 01:10:00+00:00,-0.018164617957115103,976,836
baseline_no_shock,2023-2025,2023-11-27 01:30:00+00:00,2023-11-28 14:45:00+00:00,2023-11-28 17:15:00+00:00,-0.024288830269593276,465,435
baseline_no_shock,2023-2025,2023-11-28 17:15:00+00:00,2023-11-28 18:40:00+00:00,2023-11-28 23:30:00+00:00,-0.005712649396628633,63,17
baseline_no_shock,2023-2025,2023-11-28 23:40:00+00:00,2023-11-28 23:50:00+00:00,2023-11-28 23:55:00+00:00,-0.0003607540047302349,3,2
baseline_no_shock,2023-2025,2023-11-29 00:05:00+00:00,2023-11-29 00:15:00+00:00,2023-11-29 00:35:00+00:00,-0.0016864791936036516,6,2
baseline_no_shock,2023-2025,2023-11-29 00:50:00+00:00,2023-11-29 00:55:00+00:00,2023-11-29 01:00:00+00:00,-0.0011382216253519317,2,1
baseline_no_shock,2023-2025,2023-11-29 01:00:00+00:00,2023-11-29 01:10:00+00:00,2023-11-29 01:30:00+00:00,-0.002111647550210427,6,2
baseline_no_shock,2023-2025,2023-11-29 01:30:00+00:00,2023-12-01 08:05:00+00:00,2023-12-01 09:30:00+00:00,-0.010979898922257592,648,631
baseline_no_shock,2023-2025,2023-12-01 09:40:00+00:00,2023-12-01 17:05:00+00:00,2023-12-01 18:35:00+00:00,-0.019629109869391925,107,89
baseline_no_shock,2023-2025,2023-12-01 18:35:00+00:00,2023-12-01 20:00:00+00:00,2023-12-03 23:05:00+00:00,-0.009777554068743477,42,17
baseline_no_shock,2023-2025,2023-12-03 23:05:00+00:00,2023-12-03 23:10:00+00:00,2023-12-03 23:15:00+00:00,-0.0015413519147930987,2,1
baseline_no_shock,2023-2025,2023-12-03 23:35:00+00:00,2024-02-16 13:40:00+00:00,2024-04-05 15:40:00+00:00,-0.17990275421303092,23879,14491
baseline_no_shock,2023-2025,2024-04-05 15:40:00+00:00,2024-04-05 15:45:00+00:00,2024-04-05 16:05:00+00:00,-0.0027881466721135784,5,1
baseline_no_shock,2023-2025,2024-04-05 16:10:00+00:00,2024-04-05 16:20:00+00:00,2024-04-05 17:05:00+00:00,-0.007638050920556028,11,2
baseline_no_shock,2023-2025,2024-04-05 17:10:00+00:00,2024-04-08 12:45:00+00:00,2024-04-09 09:25:00+00:00,-0.03337563365350005,459,223
baseline_no_shock,2023-2025,2024-04-09 09:30:00+00:00,2024-04-11 06:25:00+00:00,2024-04-11 20:20:00+00:00,-0.030577520558694893,682,515
baseline_no_shock,2023-2025,2024-04-11 20:25:00+00:00,2024-04-11 20:30:00+00:00,2024-04-11 20:35:00+00:00,-0.0008819474687624673,2,1
baseline_no_shock,2023-2025,2024-04-11 20:45:00+00:00,2024-04-11 21:00:00+00:00,2024-04-11 22:25:00+00:00,-0.00671869264261471,8,3
baseline_no_shock,2023-2025,2024-04-11 22:25:00+00:00,2024-04-11 22:40:00+00:00,2024-04-12 01:00:00+00:00,-0.006364434180286871,31,3
baseline_no_shock,2023-2025,2024-04-12 01:05:00+00:00,2024-04-12 01:30:00+00:00,2024-04-12 01:35:00+00:00,-0.004997106554044062,6,5
baseline_no_shock,2023-2025,2024-04-12 01:40:00+00:00,2024-04-12 01:45:00+00:00,2024-04-12 01:50:00+00:00,-0.0004897021590924977,2,1
baseline_no_shock,2023-2025,2024-04-12 01:50:00+00:00,2024-04-12 01:55:00+00:00,2024-04-12 02:00:00+00:00,-0.0028159914140737374,2,1
baseline_no_shock,2023-2025,2024-04-12 02:05:00+00:00,2024-04-12 02:10:00+00:00,2024-04-12 02:15:00+00:00,-0.0007598757883241491,2,1
baseline_no_shock,2023-2025,2024-04-12 02:15:00+00:00,2024-04-12 03:50:00+00:00,2024-04-12 06:50:00+00:00,-0.013296244801926704,55,19
baseline_no_shock,2023-2025,2024-04-12 06:50:00+00:00,2024-04-12 06:55:00+00:00,2024-04-12 07:00:00+00:00,-0.0004152867035578378,2,1
