variant,period,seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe
baseline_no_shock,2021-2022,143,2021-05-18 07:15:00+00:00,2021-05-18 09:45:00+00:00,2.0,31,-0.0037023741463130255,-0.0037023741463130255,0.00037493518407694104
baseline_no_shock,2021-2022,145,2021-05-19 00:35:00+00:00,2021-05-19 01:45:00+00:00,2.0,15,-0.0025932834492625734,-0.0037502046860649063,0.004372272335699368
baseline_no_shock,2021-2022,147,2021-05-19 05:45:00+00:00,2021-05-19 08:15:00+00:00,2.0,31,-0.0006113564359525592,-0.0034480146511660648,0.008781787638301397
baseline_no_shock,2021-2022,149,2021-05-19 18:05:00+00:00,2021-05-19 18:40:00+00:00,2.0,8,-0.011427867390312763,-0.011427867390312763,0.0
baseline_no_shock,2021-2022,151,2021-05-20 17:05:00+00:00,2021-05-20 19:25:00+00:00,2.0,29,-0.01362203675148832,-0.01724170752733789,0.0
baseline_no_shock,2021-2022,153,2021-05-21 11:20:00+00:00,2021-05-21 15:20:00+00:00,2.0,49,-0.007326118203023535,-0.014939337319724744,0.01631155127136208
baseline_no_shock,2021-2022,155,2021-05-21 19:25:00+00:00,2021-05-23 22:15:00+00:00,2.0,23,0.000923714143726162,-0.0019712059827118322,0.0026981690138236925
baseline_no_shock,2021-2022,157,2021-05-23 23:20:00+00:00,2021-05-24 06:50:00+00:00,2.0,91,0.002522390484136716,-0.00041532225315077387,0.010515036511440812
baseline_no_shock,2021-2022,159,2021-05-24 19:05:00+00:00,2021-05-24 19:45:00+00:00,2.0,9,-0.0006447043523993834,-0.002090684114208874,0.0
baseline_no_shock,2021-2022,161,2021-05-25 10:35:00+00:00,2021-05-25 12:30:00+00:00,2.0,24,0.000835545025006601,-0.002996723226401099,0.003688558191979885
baseline_no_shock,2021-2022,163,2021-05-25 14:10:00+00:00,2021-05-26 00:30:00+00:00,2.0,113,0.012726383671920471,-0.0056080807931983,0.014015597647368594
baseline_no_shock,2021-2022,165,2021-05-26 01:20:00+00:00,2021-05-26 07:05:00+00:00,2.0,70,0.0046497957638633736,-0.0036943582781382434,0.008210392793999599
baseline_no_shock,2021-2022,167,2021-05-26 08:40:00+00:00,2021-05-26 13:25:00+00:00,2.0,58,-0.007547860006030138,-0.010161904132398591,0.007014547920671355
baseline_no_shock,2021-2022,169,2021-05-28 00:20:00+00:00,2021-05-28 00:30:00+00:00,2.0,3,-0.0004611180015550165,-0.0004611180015550165,2.733901195006716e-05
baseline_no_shock,2021-2022,171,2021-05-28 16:50:00+00:00,2021-05-31 06:15:00+00:00,2.0,150,0.01509650819133812,-0.0011155909074324066,0.020153610391505872
baseline_no_shock,2021-2022,173,2021-06-01 01:05:00+00:00,2021-06-01 09:10:00+00:00,2.0,98,0.008089479177914471,-0.00029694417449510624,0.017013101536910824
baseline_no_shock,2021-2022,175,2021-06-02 16:20:00+00:00,2021-06-03 01:20:00+00:00,2.0,97,-3.214945926399704e-05,-3.214945926399704e-05,0.00621020388115423
baseline_no_shock,2021-2022,177,2021-06-07 16:20:00+00:00,2021-06-08 03:15:00+00:00,2.0,120,0.004636836116711951,0.0,0.015181985125414466
baseline_no_shock,2021-2022,179,2021-06-09 04:05:00+00:00,2021-06-09 05:55:00+00:00,2.0,23,-0.0032958127289561823,-0.0032958127289561823,0.0007172142970635065
baseline_no_shock,2021-2022,181,2021-06-10 19:05:00+00:00,2021-06-11 08:35:00+00:00,2.0,151,-0.002321405223962403,-0.0033442466061680554,0.011580343301144547
baseline_no_shock,2021-2022,183,2021-06-25 12:50:00+00:00,2021-06-25 15:55:00+00:00,2.0,38,-0.008825794522295927,-0.009084589306064372,0.008745478899747638
baseline_no_shock,2021-2022,185,2021-07-01 03:50:00+00:00,2021-07-01 09:30:00+00:00,2.0,69,-0.003588772115672989,-0.004426512594482457,0.004488667533232293
baseline_no_shock,2021-2022,187,2021-07-01 12:20:00+00:00,2021-07-01 15:45:00+00:00,2.0,42,-0.01191053770435524,-0.016717035511164435,0.008679703840229092
baseline_no_shock,2021-2022,189,2021-07-02 01:35:00+00:00,2021-07-02 06:35:00+00:00,2.0,61,-0.003921974032817799,-0.003921974032817799,0.0015643983195983147
baseline_no_shock,2021-2022,191,2021-07-02 08:55:00+00:00,2021-07-02 15:35:00+00:00,2.0,81,0.002366620740770653,-0.003806773672170305,0.021767407045924836
baseline_no_shock,2021-2022,193,2021-07-02 18:50:00+00:00,2021-07-04 22:45:00+00:00,2.0,36,-0.00833001505810449,-0.00833001505810449,0.001247671486175328
baseline_no_shock,2021-2022,195,2021-07-05 03:20:00+00:00,2021-07-05 05:15:00+00:00,2.0,24,-0.0027756880374034676,-0.004741838858709602,0.00032307642603623954
baseline_no_shock,2021-2022,197,2021-07-05 09:20:00+00:00,2021-07-05 12:40:00+00:00,2.0,41,-0.0005455194362103954,-0.004539831240326531,0.002311523034789431
baseline_no_shock,2021-2022,199,2021-07-05 14:45:00+00:00,2021-07-05 15:25:00+00:00,2.0,9,0.0008028089981275688,0.0,0.0016019141485128507
baseline_no_shock,2021-2022,201,2021-07-05 22:35:00+00:00,2021-07-06 15:15:00+00:00,1.0,201,0.009940679423024568,-0.000907185202575711,0.020233973369515823
baseline_no_shock,2021-2022,203,2021-07-07 08:05:00+00:00,2021-07-07 13:50:00+00:00,2.0,70,9.331746326535217e-05,-0.008276893040804034,0.00412884031094829
baseline_no_shock,2021-2022,205,2021-07-08 13:05:00+00:00,2021-07-08 14:30:00+00:00,2.0,18,-0.01766371571550407,-0.01766371571550407,0.0002647275223512935
baseline_no_shock,2021-2022,207,2021-07-09 09:20:00+00:00,2021-07-09 11:45:00+00:00,2.0,30,-0.011680035998645977,-0.011707927511816596,0.0
baseline_no_shock,2021-2022,209,2021-07-09 14:50:00+00:00,2021-07-11 22:05:00+00:00,1.0,76,0.0010385894733082601,0.0,0.004915676873667119
baseline_no_shock,2021-2022,211,2021-07-12 19:20:00+00:00,2021-07-13 06:00:00+00:00,2.0,117,0.0018155493868412531,-0.000685644621000181,0.012520058627311759
baseline_no_shock,2021-2022,213,2021-07-13 08:30:00+00:00,2021-07-13 09:10:00+00:00,2.0,9,0.0022837856367667886,-0.0004586290827931494,0.0040902226363401795
baseline_no_shock,2021-2022,215,2021-07-13 12:35:00+00:00,2021-07-13 13:00:00+00:00,2.0,6,-0.01844018144539783,-0.01844018144539783,0.006006390912199677
baseline_no_shock,2021-2022,217,2021-07-13 15:50:00+00:00,2021-07-13 17:15:00+00:00,2.0,18,-0.00948526818989237,-0.00948526818989237,0.0
baseline_no_shock,2021-2022,219,2021-07-14 07:05:00+00:00,2021-07-14 16:45:00+00:00,2.0,117,0.018770077995542422,-0.001650850784560176,0.03180511945050535
baseline_no_shock,2021-2022,221,2021-07-14 18:55:00+00:00,2021-07-15 01:05:00+00:00,2.0,63,0.0008762588614716904,-0.0009904720891424912,0.00510121211128256
baseline_no_shock,2021-2022,223,2021-07-15 06:00:00+00:00,2021-07-15 10:55:00+00:00,2.0,60,-0.007502131764765441,-0.009247681895424908,0.00861853708897331
baseline_no_shock,2021-2022,225,2021-07-15 23:20:00+00:00,2021-07-16 02:00:00+00:00,2.0,33,-0.010007737747350087,-0.010007737747350087,0.0005039190301017182
baseline_no_shock,2021-2022,227,2021-07-20 11:10:00+00:00,2021-07-20 15:15:00+00:00,2.0,50,-0.011752453705666022,-0.019342976885094565,0.014771520014171813
baseline_no_shock,2021-2022,229,2021-07-26 06:50:00+00:00,2021-07-26 12:20:00+00:00,2.0,67,-0.004413311978182732,-0.004413311978182732,0.006882642115647153
baseline_no_shock,2021-2022,231,2021-07-28 06:20:00+00:00,2021-07-28 08:10:00+00:00,2.0,23,-0.010387818689051254,-0.010387818689051254,0.0
baseline_no_shock,2021-2022,233,2021-07-28 22:35:00+00:00,2021-07-29 20:20:00+00:00,2.0,262,0.04036655421255819,-3.930244063243826e-05,0.0483626357592275
baseline_no_shock,2021-2022,235,2021-07-30 01:30:00+00:00,2021-07-30 01:55:00+00:00,2.0,6,-6.895708082943486e-05,-9.446175456084838e-05,0.0012941260374852437
baseline_no_shock,2021-2022,237,2021-08-04 11:40:00+00:00,2021-08-04 15:45:00+00:00,2.0,50,-0.01689410737512087,-0.0197729238785046,0.02617450268208188
baseline_no_shock,2021-2022,239,2021-08-11 20:20:00+00:00,2021-08-11 23:35:00+00:00,2.0,28,-0.002056746769430351,-0.0030480659891372053,0.0003589922999520656
baseline_no_shock,2021-2022,241,2021-08-12 05:20:00+00:00,2021-08-12 10:30:00+00:00,2.0,63,0.0007899027311848439,-0.0017146669042799045,0.011315838272232037
baseline_no_shock,2021-2022,243,2021-08-12 23:05:00+00:00,2021-08-16 03:40:00+00:00,2.0,332,0.04504297029941018,-0.0032789643857353834,0.05571354736348688
baseline_no_shock,2021-2022,245,2021-08-16 15:50:00+00:00,2021-08-17 01:00:00+00:00,2.0,99,0.003327520675108664,0.0,0.006136179956586885
baseline_no_shock,2021-2022,247,2021-08-17 01:10:00+00:00,2021-08-17 01:20:00+00:00,2.0,3,-0.0013915610064468842,-0.0013915610064468842,0.0
baseline_no_shock,2021-2022,249,2021-08-17 05:45:00+00:00,2021-08-17 12:45:00+00:00,2.0,85,-0.000868593378603677,-0.00430169265644198,0.00785035979669213
baseline_no_shock,2021-2022,251,2021-08-18 04:50:00+00:00,2021-08-18 09:10:00+00:00,2.0,53,-0.0027884574372699644,-0.004161589273978583,0.008028739456718448
baseline_no_shock,2021-2022,253,2021-08-19 13:35:00+00:00,2021-08-19 14:15:00+00:00,2.0,9,-0.011571875559104106,-0.014579827314133986,0.0
baseline_no_shock,2021-2022,255,2021-08-20 06:05:00+00:00,2021-08-20 09:15:00+00:00,2.0,39,-0.007769637139535268,-0.009837573113484877,0.002182304735098839
baseline_no_shock,2021-2022,257,2021-08-20 12:55:00+00:00,2021-08-20 14:15:00+00:00,2.0,17,-0.0039031621712276587,-0.00568679469226252,0.0034837598898480593
baseline_no_shock,2021-2022,259,2021-08-23 10:05:00+00:00,2021-08-24 00:55:00+00:00,2.0,167,0.026851182484767477,-0.00045647953363625593,0.03325509990912878
baseline_no_shock,2021-2022,261,2021-08-24 14:05:00+00:00,2021-08-24 17:15:00+00:00,2.0,39,-0.0037909934489535058,-0.007326434963181527,0.0
baseline_no_shock,2021-2022,263,2021-08-24 17:25:00+00:00,2021-08-24 18:00:00+00:00,2.0,8,-0.0008051422118166007,-0.0011150251249559817,0.0004998706515522144
baseline_no_shock,2021-2022,265,2021-08-27 01:35:00+00:00,2021-08-27 09:10:00+00:00,2.0,92,0.003783538694841271,-0.0017165969597648933,0.017547743719561693
baseline_no_shock,2021-2022,267,2021-08-27 19:20:00+00:00,2021-08-30 03:05:00+00:00,2.0,82,-0.0069883314310413835,-0.008490504744056993,0.007803007019204333
baseline_no_shock,2021-2022,269,2021-08-31 05:20:00+00:00,2021-08-31 09:10:00+00:00,2.0,47,3.707440322942013e-05,-0.003209716459598555,0.00538505706909187
baseline_no_shock,2021-2022,271,2021-09-01 04:30:00+00:00,2021-09-01 07:45:00+00:00,2.0,40,-0.0027148484937143946,-0.004200909933995356,0.004291002408812528
baseline_no_shock,2021-2022,273,2021-09-02 10:20:00+00:00,2021-09-02 11:15:00+00:00,2.0,12,-0.0026159359612918376,-0.002932793184960203,0.0
baseline_no_shock,2021-2022,275,2021-09-02 12:05:00+00:00,2021-09-02 12:40:00+00:00,2.0,8,-0.010873776606658003,-0.010873776606658003,0.0
baseline_no_shock,2021-2022,277,2021-09-03 08:20:00+00:00,2021-09-03 09:15:00+00:00,2.0,12,-0.0002282879956834183,-0.0008405148931971418,0.0011678534655206185
baseline_no_shock,2021-2022,279,2021-09-03 10:20:00+00:00,2021-09-03 20:30:00+00:00,2.0,123,0.028169253178578657,-0.00046305880045138803,0.03825940818067419
baseline_no_shock,2021-2022,281,2021-09-14 18:35:00+00:00,2021-09-14 20:35:00+00:00,2.0,25,0.002029552374517074,-0.0018900894627048581,0.002029552374517074
baseline_no_shock,2021-2022,283,2021-09-14 23:10:00+00:00,2021-09-14 23:45:00+00:00,2.0,8,3.57006037519092e-05,-0.0007817516821623238,3.57006037519092e-05
baseline_no_shock,2021-2022,285,2021-09-15 05:30:00+00:00,2021-09-15 06:40:00+00:00,2.0,15,-0.0024853004964644487,-0.003263960806820454,0.001273338625169762
