seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe,variant,period
55,2026-01-23 18:20:00+00:00,2026-01-26 06:25:00+00:00,1.0,134,0.06296375474240778,-0.014355763142085642,0.07346335153624262,shock_abs0p006,2026
57,2026-01-26 07:40:00+00:00,2026-01-26 12:15:00+00:00,2.0,56,-0.00015251681338868117,-0.014311160989756933,0.009625717385074228,shock_abs0p006,2026
3,2026-01-05 15:40:00+00:00,2026-01-05 20:45:00+00:00,2.0,62,-0.0037099843240089303,-0.012629524100601919,0.025347780220647875,shock_abs0p006,2026
81,2026-02-12 09:25:00+00:00,2026-02-12 12:20:00+00:00,2.0,36,-0.008540204036970533,-0.012120520344778063,0.00415513773337195,shock_abs0p006,2026
69,2026-01-28 16:10:00+00:00,2026-01-28 23:45:00+00:00,2.0,80,0.2940554942489957,-0.011765712066120426,0.3631768254077592,shock_abs0p006,2026
39,2026-01-19 06:20:00+00:00,2026-01-19 09:45:00+00:00,2.0,42,-0.0001921622064531281,-0.01106638800153592,0.015010203005004108,shock_abs0p006,2026
31,2026-01-14 10:50:00+00:00,2026-01-14 11:50:00+00:00,2.0,13,-0.007524663807824683,-0.010403819208469667,0.0031529401166585647,shock_abs0p006,2026
83,2026-02-13 19:05:00+00:00,2026-02-13 22:00:00+00:00,2.0,36,0.007868881598811273,-0.008088580673375811,0.010269374322785074,shock_abs0p006,2026
43,2026-01-19 13:35:00+00:00,2026-01-20 00:20:00+00:00,1.0,88,-0.0049157526999633605,-0.007623453343182485,0.007194222017100627,shock_abs0p006,2026
65,2026-01-27 17:05:00+00:00,2026-01-28 11:30:00+00:00,2.0,210,0.24810642315111808,-0.007211944279431393,0.3129531746328862,shock_abs0p006,2026
51,2026-01-22 12:50:00+00:00,2026-01-22 13:10:00+00:00,1.0,5,-0.00556402817041135,-0.0065946907702229,0.0,shock_abs0p006,2026
45,2026-01-20 03:35:00+00:00,2026-01-21 09:00:00+00:00,1.0,342,0.16171393477871532,0.0,0.18806317536483874,shock_abs0p006,2026
73,2026-02-06 16:50:00+00:00,2026-02-09 08:50:00+00:00,2.0,181,0.07016473989443606,-0.0038309583129187974,0.08486311056441087,shock_abs0p006,2026
11,2026-01-06 13:25:00+00:00,2026-01-07 01:45:00+00:00,2.0,137,0.018185183423533147,-0.0033088410163939486,0.082796508345516,shock_abs0p006,2026
71,2026-02-04 00:05:00+00:00,2026-02-04 10:10:00+00:00,2.0,122,0.09100132944172978,0.0,0.12539613001598693,shock_abs0p006,2026
1,2026-01-05 04:05:00+00:00,2026-01-05 12:40:00+00:00,2.0,104,0.024900000000001477,-0.005399999999999627,0.07137000000000082,shock_abs0p006,2026
75,2026-02-09 14:00:00+00:00,2026-02-09 23:20:00+00:00,2.0,101,0.003835186688079917,0.0,0.06049281518087568,shock_abs0p006,2026
21,2026-01-09 21:35:00+00:00,2026-01-12 06:00:00+00:00,2.0,90,0.14521532399879744,-0.0007275216973393617,0.18169405918737858,shock_abs0p006,2026
705,2022-09-13 12:20:00+00:00,2022-09-13 13:05:00+00:00,2.0,10,-0.04499627853043098,-0.04499627853043098,0.002922607476241623,baseline_no_shock,2021-2022
133,2021-05-11 11:20:00+00:00,2021-05-11 13:15:00+00:00,2.0,24,-0.02822860289018292,-0.02822860289018292,0.0,baseline_no_shock,2021-2022
819,2022-12-27 15:40:00+00:00,2022-12-27 19:50:00+00:00,2.0,51,-0.028036499359512912,-0.028036499359512912,0.0,baseline_no_shock,2021-2022
